epoch,loss,val_loss,val_acc,val_wf1,val_mf1,test_acc,test_wf1,test_mf1,gap,f1_hap,f1_sad,f1_neu,f1_ang,f1_exc,f1_fru,pair_hap_exc,pair_ang_fru
1,1.9419679130826677,1.7760071754455566,0.4354561101549053,0.4090734732045767,0.322260445985284,0.3333333333333333,0.2960994876030856,0.2733311475916951,-0.16596073763711106,0.0,0.4789473684210526,0.24468085106382978,0.32432432432432434,0.1393939393939394,0.4526404023470243,0.0696969696969697,0.3884823633356743
2,1.7581369876861572,1.5328311920166016,0.4784853700516351,0.45837033258928844,0.48087883839349366,0.4898336414048059,0.4764713060591725,0.4552332858153248,-0.22530579566955566,0.1990521327014218,0.6553323029366306,0.3641703377386197,0.37150127226463103,0.6555555555555556,0.48578811369509045,0.42730384412848865,0.42864469297986074
3,1.543407917022705,1.3006476163864136,0.5611015490533563,0.5268680799879663,0.4888529948037472,0.5662353666050524,0.532986813310205,0.5044667660414447,-0.2427603006362915,0.09937888198757763,0.7350427350427351,0.4033333333333333,0.5013774104683195,0.732612055641422,0.5550561797752809,0.4159954688144998,0.5282167951218002
4,1.352065852710179,1.1515958309173584,0.5886402753872634,0.566287362052158,0.5359609276671742,0.6457178065311152,0.6349405902919191,0.6126104944902725,-0.20047002179282059,0.34024896265560167,0.7969348659003831,0.5766016713091922,0.5655172413793104,0.7719821162444114,0.6243781094527363,0.5561155394500066,0.5949476754160233
5,1.199280551501683,1.0387179851531982,0.6230636833046471,0.5969936019042796,0.5878159623895148,0.6266173752310537,0.6196058441261015,0.6118978227118879,-0.16056256634848465,0.3929824561403509,0.7947761194029851,0.5502318392581144,0.6226415094339622,0.7588424437299035,0.5519125683060109,0.5759124499351271,0.5872770388699866
6,1.0802069221224104,0.9315319061279297,0.7039586919104991,0.7028409606631334,0.6721124386553546,0.6457178065311152,0.6429154600180942,0.6281891646894137,-0.14867501599448074,0.4014336917562724,0.7906976744186046,0.6457516339869281,0.6127450980392157,0.7629513343799058,0.5555555555555556,0.5821925130680892,0.5841503267973857
7,1.0253026229994637,0.9005082845687866,0.6884681583476764,0.6791264573964928,0.6425919839194248,0.6561922365988909,0.6585695262749919,0.6451255788740023,-0.12479433843067711,0.453781512605042,0.8217636022514071,0.6511627906976745,0.6287425149700598,0.6814814814814815,0.6338215712383488,0.5676314970432618,0.6312820431042043
8,0.9732166102954319,0.8663716316223145,0.7022375215146299,0.7006538369967225,0.6534460704902734,0.6506469500924215,0.6501581495645253,0.6352926696629418,-0.10684497867311749,0.41947565543071164,0.8079470198675497,0.6363636363636364,0.6034063260340633,0.7605633802816901,0.584,0.5900195178562009,0.5937031630170316
9,0.9607770953859601,0.8430283665657043,0.7246127366609294,0.7227906759948642,0.6817815444870617,0.6746765249537893,0.6731315705463085,0.6573951152515108,-0.11774872882025578,0.4406779661016949,0.8210116731517509,0.6719787516600265,0.6358381502890174,0.7569331158238173,0.6179310344827587,0.5988055409627561,0.626884592385888
10,0.9210490328924996,0.8153107762336731,0.7280550774526678,0.7288165000854012,0.6787101637307152,0.6660505237215034,0.6712651083324027,0.6576339293786421,-0.10573825665882652,0.46831955922865015,0.8298755186721992,0.688,0.6410958904109589,0.6929982046678635,0.6255144032921811,0.5806588819482569,0.63330514685157
11,0.8868122015680585,0.79454505443573,0.729776247848537,0.7317602903722028,0.6872814532581647,0.6666666666666666,0.6687155408946651,0.6554289998661246,-0.09226714713232853,0.4594594594594595,0.8034934497816594,0.6691919191919192,0.6492146596858639,0.729776247848537,0.621438263229308,0.5946178536539982,0.635326461457586
12,0.842194174017225,0.8441782593727112,0.7160068846815835,0.7185637440266182,0.6774455861547569,0.6759088108441158,0.6812058860520517,0.666726241914584,0.0019840853554862203,0.43360433604336046,0.8366533864541833,0.6602209944751382,0.688622754491018,0.7155025553662692,0.6657534246575343,0.5745534457048148,0.6771880895742761
13,0.8174357754843575,0.7734402418136597,0.7142857142857143,0.7160849334464389,0.6808055402219287,0.6512630930375847,0.6552528025195582,0.6431306629279167,-0.04399553367069786,0.4629080118694362,0.7853881278538812,0.6872682323856613,0.6483790523690773,0.6762589928057554,0.5985815602836879,0.5695835023375958,0.6234803063263826
14,0.8174899135317121,0.7873878479003906,0.7469879518072289,0.7445839686005362,0.7031165737545853,0.6857670979667283,0.6851906917683293,0.6666128419352311,-0.03010206563132145,0.4290909090909091,0.825,0.6869220607661823,0.6686217008797654,0.7182866556836903,0.6717557251908397,0.5736887823872997,0.6701887130353026
15,0.797520569392613,0.7766634225845337,0.7418244406196214,0.7427426249983243,0.7048687375187099,0.6771410967344423,0.6780432426420145,0.6645366820904314,-0.020857146808079263,0.46153846153846156,0.8436213991769548,0.6956521739130435,0.6582278481012658,0.7042735042735043,0.6239067055393586,0.582905982905983,0.6410672768203122
16,0.7718936375209263,0.7791414260864258,0.7418244406196214,0.741803528202407,0.7036618809900682,0.6882316697473814,0.691323889709614,0.6747667941644124,0.007247788565499458,0.46835443037974683,0.8268398268398268,0.7029077117572693,0.672514619883041,0.6982456140350877,0.6797385620915033,0.5833000222074173,0.6761265909872721
17,0.7733770268304008,0.7602323889732361,0.7418244406196214,0.7404137835429123,0.7042066857908623,0.6814540973505854,0.6827739131955828,0.6692362989391243,-0.013144637857164687,0.4666666666666667,0.8392484342379958,0.693717277486911,0.6719160104986877,0.6987951807228916,0.6450742240215924,0.5827309236947791,0.6584951172601401
18,0.7356624262673515,0.7643315196037292,0.7504302925989673,0.7501291567078238,0.7060207741957817,0.6820702402957486,0.684176206562773,0.6708922036791236,0.028669093336377793,0.4716981132075472,0.83991683991684,0.6945500633713562,0.6742209631728046,0.6956521739130435,0.6493150684931507,0.5836751435602954,0.6617680158329776
19,0.7252828478813171,0.7637525200843811,0.7452667814113597,0.745588545558963,0.6992479468971986,0.6900800985828712,0.6909931178124225,0.6733610244331051,0.038469672203063965,0.45051194539249145,0.8392484342379958,0.7044854881266491,0.6666666666666666,0.7116968698517299,0.6675567423230975,0.5811044076221107,0.667111704494882
20,0.731624790600368,0.7612435221672058,0.7401032702237521,0.7407057989674667,0.6882737056064591,0.6814540973505854,0.6851119678210748,0.6751790199091737,0.029618731566837808,0.5170454545454546,0.8400852878464818,0.701530612244898,0.671875,0.6715867158671587,0.6489510489510489,0.5943160852063066,0.6604130244755244
21,0.7163573333195278,0.7738701701164246,0.7366609294320138,0.7388954457709793,0.6877193545682155,0.6950092421441775,0.6961356143318781,0.6788924264333366,0.05751283679689678,0.46,0.8464730290456431,0.711168164313222,0.6763005780346821,0.7001675041876047,0.6792452830188679,0.5800837520938024,0.677772930526775
22,0.7247376101357597,0.7526764273643494,0.7555938037865749,0.7572455049932918,0.7095760149446463,0.6919285274183611,0.6898658617332046,0.672919642631464,0.027938817228589707,0.44274809160305345,0.8434237995824635,0.7090216010165185,0.6751918158567775,0.7154471544715447,0.651685393258427,0.5790976230372991,0.6634386045576022
23,0.6926727294921875,0.74847012758255,0.7590361445783133,0.7596147551685333,0.7150134321589325,0.6894639556377079,0.6902306570574206,0.6753363090847175,0.05579739809036255,0.47651006711409394,0.8343815513626834,0.7083333333333334,0.6741573033707865,0.6956521739130435,0.6629834254143646,0.5860811205135688,0.6685703643925756
24,0.6797928469521659,0.7506442070007324,0.7590361445783133,0.7597932188293635,0.7158610206997303,0.6882316697473814,0.6899732742834886,0.674964402601303,0.07085136004856651,0.47058823529411764,0.8365180467091295,0.7073474470734745,0.6795580110497238,0.6900175131348512,0.6657571623465212,0.5803028742144845,0.6726575866981225
25,0.6650567735944476,0.7598248720169067,0.7504302925989673,0.7498072793345685,0.7072726398082336,0.6894639556377079,0.6914915454159045,0.6769622433146422,0.09476809842245915,0.4774193548387097,0.8329809725158562,0.7084398976982097,0.6850828729281768,0.68760907504363,0.6702412868632708,0.5825142149411698,0.6776620798957238
26,0.693230824811118,0.761526346206665,0.7487091222030982,0.7488996419631805,0.7033207494287437,0.6900800985828712,0.6922799703831563,0.6770771378577688,0.06829552139554707,0.4758842443729904,0.832271762208068,0.7090216010165185,0.6815642458100558,0.6898954703832753,0.6738255033557047,0.5828898573781328,0.6776948745828802
27,0.6967733502388,0.762115478515625,0.7469879518072289,0.7476544252931002,0.702335628837533,0.6913123844731978,0.6933419064079684,0.6786058677109477,0.06534212827682495,0.48231511254019294,0.8329809725158562,0.7095959595959596,0.6818181818181818,0.6910994764397905,0.6738255033557047,0.5867072944899917,0.6778218425869432
28,0.6701415181159973,0.7618744373321533,0.7469879518072289,0.7474970552296191,0.7038502027055137,0.6900800985828712,0.6918241071474812,0.6766525984099886,0.091732919216156,0.4755700325732899,0.8378947368421052,0.7058823529411765,0.6762177650429799,0.6923076923076923,0.6720430107526881,0.5839388624404911,0.674130387897834
29,0.7459120324679783,0.7615584135055542,0.7469879518072289,0.7474970552296191,0.7038502027055137,0.6913123844731978,0.6929909372936002,0.6780731101199969,0.015646381037575874,0.477124183006536,0.8378947368421052,0.7058823529411765,0.68,0.6945898778359512,0.6729475100942126,0.5858570304212436,0.6764737550471063
30,0.6734447394098554,0.7614815831184387,0.7469879518072289,0.7474970552296191,0.7038502027055137,0.6919285274183611,0.693584108025174,0.6787967932137796,0.08803684370858333,0.477124183006536,0.8378947368421052,0.706766917293233,0.6837606837606838,0.6933797909407665,0.6738544474393531,0.5852519869736512,0.6788075656000184
